_id,date,center_name,attendance_count
26576169,2023-10-03,Arlington Community Center,5
26576170,2023-10-03,Brookline Community Center,48
26576171,2023-10-03,Magee Community Center,23
26576172,2023-10-03,Paulson Community Center,18
26576173,2023-10-03,Ormsby Community Center,2
26576174,2023-10-03,West Penn Community Center,119
26576175,2023-10-02,Phillips Community Center,62
26576176,2023-10-02,Warrington Community Center,14
26576177,2023-10-02,Arlington Community Center,13
26576178,2023-10-02,Ammon Community Center,23
26576179,2023-10-02,Brookline Community Center,45
26576180,2023-10-02,Magee Community Center,32
26576181,2023-10-02,Ormsby Community Center,12
26576182,2023-10-02,Paulson Community Center,16
26576183,2023-10-02,West Penn Community Center,28
26576184,2023-09-30,Phillips Community Center,5
26576185,2023-09-30,Ammon Community Center,43
26576186,2023-09-30,Brookline Community Center,2
26576187,2023-09-30,Magee Community Center,4
26576188,2023-09-30,Paulson Community Center,3
26576189,2023-09-30,Ormsby Community Center,5
26576190,2023-09-30,West Penn Community Center,10
26576191,2023-09-29,Phillips Community Center,32
26576192,2023-09-29,Warrington Community Center,15
26576193,2023-09-29,Ammon Community Center,9
26576194,2023-09-29,Arlington Community Center,13
26576195,2023-09-29,Brookline Community Center,24
26576196,2023-09-29,Magee Community Center,26
26576197,2023-09-29,Ormsby Community Center,7
26576198,2023-09-29,Paulson Community Center,11
26576199,2023-09-29,West Penn Community Center,30
26576200,2023-09-28,Warrington Community Center,31
26576201,2023-09-28,Phillips Community Center,56
26576202,2023-09-28,Arlington Community Center,6
26576203,2023-09-28,Ammon Community Center,49
26576204,2023-09-28,Brookline Community Center,38
26576205,2023-09-28,Magee Community Center,35
26576206,2023-09-28,Paulson Community Center,5
26576207,2023-09-28,Ormsby Community Center,9
26576208,2023-09-28,West Penn Community Center,90
26576209,2023-09-27,Phillips Community Center,59
26576210,2023-09-27,Warrington Community Center,23
26576211,2023-09-27,Ammon Community Center,112
26576212,2023-09-27,Arlington Community Center,39
26576213,2023-09-27,Brookline Community Center,24
26576214,2023-09-27,Magee Community Center,35
26576215,2023-09-27,Ormsby Community Center,9
26576216,2023-09-27,Paulson Community Center,16
26576217,2023-09-27,West Penn Community Center,35
26576218,2023-09-26,Warrington Community Center,19
26576219,2023-09-26,Phillips Community Center,60
26576220,2023-09-26,Arlington Community Center,8
26576221,2023-09-26,Ammon Community Center,140
26576222,2023-09-26,Brookline Community Center,44
26576223,2023-09-26,Magee Community Center,25
26576224,2023-09-26,Paulson Community Center,16
26576225,2023-09-26,Ormsby Community Center,13
26576226,2023-09-26,West Penn Community Center,112
26576227,2023-09-25,Phillips Community Center,43
26576228,2023-09-25,Warrington Community Center,17
26576229,2023-09-25,Ammon Community Center,57
26576230,2023-09-25,Arlington Community Center,19
26576231,2023-09-25,Brookline Community Center,34
26576232,2023-09-25,Jefferson Community Center,21
26576233,2023-09-25,Magee Community Center,24
26576234,2023-09-25,Ormsby Community Center,15
26576235,2023-09-25,Paulson Community Center,12
26576236,2023-09-25,West Penn Community Center,42
26576237,2023-09-23,Warrington Community Center,1
26576238,2023-09-23,Phillips Community Center,4
26576239,2023-09-23,Brookline Community Center,8
26576240,2023-09-23,Paulson Community Center,4
26576241,2023-09-23,West Penn Community Center,28
26576242,2023-09-22,Phillips Community Center,22
26576243,2023-09-22,Warrington Community Center,18
26576244,2023-09-22,Arlington Community Center,10
26576245,2023-09-22,Ammon Community Center,43
26576246,2023-09-22,Brookline Community Center,21
26576247,2023-09-22,Magee Community Center,39
26576248,2023-09-22,Paulson Community Center,7
26576249,2023-09-22,Ormsby Community Center,6
26576250,2023-09-22,West Penn Community Center,35
26576251,2023-09-21,Warrington Community Center,23
26576252,2023-09-21,Phillips Community Center,45
26576253,2023-09-21,Ammon Community Center,25
26576254,2023-09-21,Arlington Community Center,3
26576255,2023-09-21,Brookline Community Center,36
26576256,2023-09-21,Magee Community Center,46
26576257,2023-09-21,Ormsby Community Center,9
26576258,2023-09-21,Paulson Community Center,8
26576259,2023-09-21,West Penn Community Center,88
26576260,2023-09-20,Phillips Community Center,48
26576261,2023-09-20,Warrington Community Center,24
26576262,2023-09-20,Arlington Community Center,28
26576263,2023-09-20,Ammon Community Center,118
26576264,2023-09-20,Brookline Community Center,21
26576265,2023-09-20,Magee Community Center,33
26576266,2023-09-20,Paulson Community Center,13
26576267,2023-09-20,Ormsby Community Center,5
26576268,2023-09-20,West Penn Community Center,23
26576269,2023-09-19,Warrington Community Center,19
26576270,2023-09-19,Phillips Community Center,62
26576271,2023-09-19,Ammon Community Center,84
26576272,2023-09-19,Arlington Community Center,5
26576273,2023-09-19,Brookline Community Center,41
26576274,2023-09-19,Magee Community Center,28
26576275,2023-09-19,Ormsby Community Center,9
26576276,2023-09-19,Paulson Community Center,9
26576277,2023-09-18,Phillips Community Center,51
26576278,2023-09-18,Warrington Community Center,17
26576279,2023-09-18,Arlington Community Center,9
26576280,2023-09-18,Ammon Community Center,90
26576281,2023-09-18,Brookline Community Center,39
26576282,2023-09-18,Magee Community Center,41
26576283,2023-09-18,Paulson Community Center,10
26576284,2023-09-18,Ormsby Community Center,11
26576285,2023-09-18,West Penn Community Center,34
26576286,2023-09-16,Phillips Community Center,1
26576287,2023-09-16,Brookline Community Center,3
26576288,2023-09-16,Ormsby Community Center,1
26576289,2023-09-16,Paulson Community Center,6
26576290,2023-09-16,West Penn Community Center,22
26576291,2023-09-15,Phillips Community Center,16
26576292,2023-09-15,Warrington Community Center,21
26576293,2023-09-15,Ammon Community Center,101
26576294,2023-09-15,Brookline Community Center,21
26576295,2023-09-15,Magee Community Center,15
26576296,2023-09-15,Paulson Community Center,14
26576297,2023-09-15,Ormsby Community Center,5
26576298,2023-09-15,West Penn Community Center,24
26576299,2023-09-14,Warrington Community Center,13
26576300,2023-09-14,Phillips Community Center,50
26576301,2023-09-14,Ammon Community Center,89
26576302,2023-09-14,Arlington Community Center,9
26576303,2023-09-14,Brookline Community Center,31
26576304,2023-09-14,Magee Community Center,25
26576305,2023-09-14,Ormsby Community Center,12
26576306,2023-09-14,Paulson Community Center,11
26576307,2023-09-14,West Penn Community Center,22
26576308,2023-09-13,Phillips Community Center,10
26576309,2023-09-13,Warrington Community Center,25
26576310,2023-09-13,Arlington Community Center,4
26576311,2023-09-13,Ammon Community Center,104
26576312,2023-09-13,Brookline Community Center,13
26576313,2023-09-13,Magee Community Center,42
26576314,2023-09-13,Paulson Community Center,11
26576315,2023-09-13,Ormsby Community Center,10
26576316,2023-09-13,West Penn Community Center,38
26576317,2023-09-12,Warrington Community Center,18
26576318,2023-09-12,Phillips Community Center,45
26576319,2023-09-12,Ammon Community Center,20
26576320,2023-09-12,Brookline Community Center,45
26576321,2023-09-12,Magee Community Center,30
26576322,2023-09-12,Ormsby Community Center,11
26576323,2023-09-12,Paulson Community Center,10
26576324,2023-09-12,West Penn Community Center,49
26576325,2023-09-11,Phillips Community Center,52
26576326,2023-09-11,Warrington Community Center,38
26576327,2023-09-11,Ammon Community Center,1
26576328,2023-09-11,Arlington Community Center,15
26576329,2023-09-11,Brookline Community Center,25
26576330,2023-09-11,Magee Community Center,48
26576331,2023-09-11,Paulson Community Center,7
26576332,2023-09-11,Ormsby Community Center,13
26576333,2023-09-11,West Penn Community Center,56
26576334,2023-09-09,Phillips Community Center,3
26576335,2023-09-09,Ormsby Community Center,7
26576336,2023-09-09,West Penn Community Center,10
26576337,2023-09-08,Phillips Community Center,34
26576338,2023-09-08,Warrington Community Center,16
26576339,2023-09-08,Ammon Community Center,20
26576340,2023-09-08,Brookline Community Center,31
26576341,2023-09-08,Magee Community Center,18
26576342,2023-09-08,Ormsby Community Center,10
26576343,2023-09-08,Paulson Community Center,12
26576344,2023-09-08,West Penn Community Center,21
26576345,2023-09-07,Warrington Community Center,18
26576346,2023-09-07,Phillips Community Center,70
26576347,2023-09-07,Ammon Community Center,30
26576348,2023-09-07,Arlington Community Center,4
26576349,2023-09-07,Brookline Community Center,24
26576350,2023-09-07,Magee Community Center,27
26576351,2023-09-07,Paulson Community Center,13
26576352,2023-09-07,Ormsby Community Center,18
26576353,2023-09-07,West Penn Community Center,42
26576354,2023-09-06,Phillips Community Center,24
26576355,2023-09-06,Warrington Community Center,11
26576356,2023-09-06,Arlington Community Center,2
26576357,2023-09-06,Ammon Community Center,23
26576358,2023-09-06,Brookline Community Center,20
26576359,2023-09-06,Magee Community Center,19
26576360,2023-09-06,Ormsby Community Center,12
26576361,2023-09-06,Paulson Community Center,3
26576362,2023-09-06,West Penn Community Center,28
26576363,2023-09-05,Warrington Community Center,29
26576364,2023-09-05,Phillips Community Center,19
26576365,2023-09-05,Ammon Community Center,26
26576366,2023-09-05,Arlington Community Center,3
26576367,2023-09-05,Brookline Community Center,34
26576368,2023-09-05,Magee Community Center,35
26576369,2023-09-05,Paulson Community Center,10
26576370,2023-09-05,Ormsby Community Center,12
26576371,2023-09-05,West Penn Community Center,37
26576372,2023-09-01,Phillips Community Center,42
26576373,2023-09-01,Warrington Community Center,18
26576374,2023-09-01,Ammon Community Center,5
26576375,2023-09-01,Brookline Community Center,24
26576376,2023-09-01,Magee Community Center,7
26576377,2023-09-01,Ormsby Community Center,5
26576378,2023-09-01,Paulson Community Center,13
26576379,2023-09-01,West Penn Community Center,47
26576380,2023-08-31,Warrington Community Center,35
26576381,2023-08-31,Phillips Community Center,50
26576382,2023-08-31,Ammon Community Center,31
26576383,2023-08-31,Brookline Community Center,38
26576384,2023-08-31,Magee Community Center,11
26576385,2023-08-31,Paulson Community Center,9
26576386,2023-08-31,Ormsby Community Center,8
26576387,2023-08-31,West Penn Community Center,20
26576388,2023-08-30,Phillips Community Center,48
26576389,2023-08-30,Warrington Community Center,22
26576390,2023-08-30,Ammon Community Center,26
26576391,2023-08-30,Arlington Community Center,1
26576392,2023-08-30,Brookline Community Center,20
26576393,2023-08-30,Jefferson Community Center,9
26576394,2023-08-30,Magee Community Center,38
26576395,2023-08-30,Ormsby Community Center,7
26576396,2023-08-30,Paulson Community Center,7
26576397,2023-08-30,West Penn Community Center,29
26576398,2023-08-29,Warrington Community Center,28
26576399,2023-08-29,Phillips Community Center,28
26576400,2023-08-29,Arlington Community Center,6
26576401,2023-08-29,Ammon Community Center,23
26576402,2023-08-29,Brookline Community Center,31
26576403,2023-08-29,Magee Community Center,21
26576404,2023-08-29,Paulson Community Center,10
26576405,2023-08-29,Ormsby Community Center,15
26576406,2023-08-29,West Penn Community Center,20
26576407,2023-08-28,Phillips Community Center,52
26576408,2023-08-28,Warrington Community Center,6
26576409,2023-08-28,Ammon Community Center,29
26576410,2023-08-28,Arlington Community Center,10
26576411,2023-08-28,Brookline Community Center,23
26576412,2023-08-28,Magee Community Center,31
26576413,2023-08-28,Ormsby Community Center,12
26576414,2023-08-28,Paulson Community Center,12
26576415,2023-08-28,West Penn Community Center,59
26576416,2023-08-26,Warrington Community Center,2
26576417,2023-08-26,Paulson Community Center,5
26576418,2023-08-26,Ormsby Community Center,2
26576419,2023-08-26,West Penn Community Center,19
26576420,2023-08-25,Warrington Community Center,13
26576421,2023-08-25,Phillips Community Center,22
26576422,2023-08-25,Ammon Community Center,3
26576423,2023-08-25,Brookline Community Center,21
26576424,2023-08-25,Magee Community Center,15
26576425,2023-08-25,Ormsby Community Center,11
26576426,2023-08-25,Paulson Community Center,5
26576427,2023-08-25,West Penn Community Center,29
26576428,2023-08-24,Phillips Community Center,45
26576429,2023-08-24,Warrington Community Center,11
26576430,2023-08-24,Ammon Community Center,7
26576431,2023-08-24,Arlington Community Center,3
26576432,2023-08-24,Brookline Community Center,39
26576433,2023-08-24,Magee Community Center,24
26576434,2023-08-24,Paulson Community Center,6
26576435,2023-08-24,Ormsby Community Center,8
26576436,2023-08-24,West Penn Community Center,26
26576437,2023-08-23,Warrington Community Center,10
26576438,2023-08-23,Phillips Community Center,31
26576439,2023-08-23,Arlington Community Center,2
26576440,2023-08-23,Ammon Community Center,23
26576441,2023-08-23,Brookline Community Center,1
26576442,2023-08-23,Jefferson Community Center,33
26576443,2023-08-23,Magee Community Center,35
26576444,2023-08-23,Ormsby Community Center,5
26576445,2023-08-23,Paulson Community Center,5
26576446,2023-08-23,West Penn Community Center,25
26576447,2023-08-22,Phillips Community Center,45
26576448,2023-08-22,Warrington Community Center,11
26576449,2023-08-22,Ammon Community Center,20
26576450,2023-08-22,Arlington Community Center,4
26576451,2023-08-22,Brookline Community Center,17
26576452,2023-08-22,Magee Community Center,23
26576453,2023-08-22,Paulson Community Center,1
26576454,2023-08-22,Ormsby Community Center,11
26576455,2023-08-22,West Penn Community Center,28
26576456,2023-08-21,Warrington Community Center,20
26576457,2023-08-21,Phillips Community Center,40
